---,DisplayName,Category,BaseDamage,HeadshotMultiplier,LegMultiplier,FireRate,WeaponRange,MaxAmmo,ReloadTime,FireMode,AmmoType,BulletSpeed,BulletGravityScale,RecoilPitchMin,RecoilPitchMax,RecoilYawMin,RecoilYawMax,RecoilRecoverySpeed,ADSFOVMultiplier,bIsShotgun,PelletCount,SpreadAngle,ThrowForce,FuseTime,ExplosionDamage,ExplosionRadius,bIsSticky,StickyDamage,WeaponMesh1P,WeaponMesh3P,MeshScale,MeshRotation,MeshLocationOffset,MuzzleSocketName,ThrowableMesh,ThrowableMeshScale,ThrowableMeshRotation,WeaponIcon,AmmoIcon,MuzzleFlashFX,BulletTracerFX,ImpactFX,ExplosionFX,FireSound,ReloadSound,EmptySound,ExplosionSound,FireAnimation1P,ReloadAnimation1P,FireAnimation3P,ReloadAnimation3P,BurstShotCount,BurstInterval,bIsIncendiary,FireZoneDuration,FireZoneTickInterval,FireZoneClass,ThrowableGravityScale,ThrowableBounciness,EquipSound,ThrowSound,Notes,ProjectileClass,BulletImpactDecal,BulletImpactFX,BulletImpactSound,BloodImpactFX,BloodImpactSound,BulletDecalSize,BulletDecalLifeSpan,SpreadPattern
R301,R-301 Carbine,Firearm,14,2,0.75,0.1,5000,20,2,Auto,Light,30000,0.3,-0.3,-0.6,-0.15,0.15,5,0.7,FALSE,0,0,0,0,0,0,FALSE,0,/Game/OJJ/Gun/source/Apex_Legends_R301_VOID_DISRUPTION_Mythic.Apex_Legends_R301_VOID_DISRUPTION_Mythic,/Game/OJJ/Gun/source/Apex_Legends_R301_VOID_DISRUPTION_Mythic.Apex_Legends_R301_VOID_DISRUPTION_Mythic,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",,,,,,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/R301_Fire.R301_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/R301_Re.R301_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/R301_St.R301_St',,AR / 풀오토 / 경량탄,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random
Flatline,VK-47 Flatline,Firearm,19,2,0.75,0.1,5000,20,2.4,Auto,Heavy,28000,0.4,-0.4,-0.75,-0.2,0.2,4.5,0.7,FALSE,0,0,0,0,0,0,FALSE,0,/Game/OJJ/Gun/vk-47-flatline-ar/source/Apex_Legends_VK-47_Flatline_AR.Apex_Legends_VK-47_Flatline_AR,/Game/OJJ/Gun/vk-47-flatline-ar/source/Apex_Legends_VK-47_Flatline_AR.Apex_Legends_VK-47_Flatline_AR,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",,,,,,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/Flatline_Fire.Flatline_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/Flatline_Re.Flatline_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/Flatline_St.Flatline_St',,AR / 풀오토 / 중량탄,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random
Hemlok,Hemlok Burst AR,Firearm,22,2,0.75,0.2,5000,24,2.4,Burst,Heavy,27500,0.4,-0.35,-0.7,-0.15,0.15,4.5,0.7,FALSE,0,0,0,0,0,0,FALSE,0,/Game/OJJ/Gun/hemlok-burst-ar/source/Apex_Legends_Hemlok_Burst_AR.Apex_Legends_Hemlok_Burst_AR,/Game/OJJ/Gun/hemlok-burst-ar/source/Apex_Legends_Hemlok_Burst_AR.Apex_Legends_Hemlok_Burst_AR,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",,,,,,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/Hemlok_Fire.Hemlok_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/Hemlok_Re.Hemlok_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/Hemlok_St.Hemlok_St',,AR / 3점사 / 중량탄,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random
Havoc,Havoc Rifle,Firearm,18,2,0.75,0.085,5000,32,3.2,Auto,Energy,40000,0.1,-0.25,-0.5,-0.1,0.1,5.5,0.7,FALSE,0,0,0,0,0,0,FALSE,0,/Game/OJJ/Gun/havoc-rifle-ar/source/Apex_Legends_HAVOC_Rifle_AR.Apex_Legends_HAVOC_Rifle_AR,/Game/OJJ/Gun/havoc-rifle-ar/source/Apex_Legends_HAVOC_Rifle_AR.Apex_Legends_HAVOC_Rifle_AR,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",,,,,,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/Havoc_Fire.Havoc_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/Havoc_Re.Havoc_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/Havoc_St.Havoc_St',,AR / 에너지 / 빠른 탄속,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random
Nemesis,Nemesis Burst AR,Firearm,17,2,0.75,0.25,5000,24,2.6,Burst,Energy,32000,0.2,-0.3,-0.6,-0.12,0.12,5,0.7,FALSE,0,0,0,0,0,0,FALSE,0,/Game/OJJ/Gun/nemesis-burst-ar/source/Apex_Legends_Nemesis_Burst_AR.Apex_Legends_Nemesis_Burst_AR,/Game/OJJ/Gun/nemesis-burst-ar/source/Apex_Legends_Nemesis_Burst_AR.Apex_Legends_Nemesis_Burst_AR,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",,,,,,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/Nemesis_Fire.Nemesis_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/Nemesis_Re.Nemesis_Re',,None,,,,,4,0.05,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/Nemesis_St.Nemesis_St',,AR / 4점사 / 에너지,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random
R99,R-99 SMG,Firearm,11,2,0.75,0.055,5000,20,1.8,Auto,Light,28000,0.35,-0.25,-0.45,-0.15,0.15,5.5,0.75,FALSE,0,0,0,0,0,0,FALSE,0,/Game/OJJ/Gun/r-99-smg/textures/source/Apex_Legends_C_A_R__SMG.Apex_Legends_C_A_R__SMG,/Game/OJJ/Gun/r-99-smg/textures/source/Apex_Legends_C_A_R__SMG.Apex_Legends_C_A_R__SMG,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",,,,,,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/R99_Fire.R99_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/R99_Re.R99_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/R99_St.R99_St',,SMG / 초고속 연사,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random
Volt,Volt SMG,Firearm,15,2,0.75,0.1,5000,19,2.1,Auto,Energy,35000,0.2,-0.3,-0.5,-0.15,0.15,5,0.75,FALSE,0,0,0,0,0,0,FALSE,0,/Game/OJJ/Gun/volt-smg/source/Apex_Legends_Volt_SMG.Apex_Legends_Volt_SMG,/Game/OJJ/Gun/volt-smg/source/Apex_Legends_Volt_SMG.Apex_Legends_Volt_SMG,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",,,,,,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/Volt_Fire.Volt_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/Volt_Re.Volt_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/Volt_St.Volt_St',,SMG / 에너지탄,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random
Spitfire,M600 Spitfire,Firearm,18,2,0.75,0.14,7000,35,3,Auto,Heavy,27000,0.4,-0.5,-0.85,-0.25,0.25,4,0.7,FALSE,0,0,0,0,0,0,FALSE,0,/Game/OJJ/Gun/m600-spitfire-lmg/source/Apex_Legends_M600_Spitfire_LMG.Apex_Legends_M600_Spitfire_LMG,/Game/OJJ/Gun/m600-spitfire-lmg/source/Apex_Legends_M600_Spitfire_LMG.Apex_Legends_M600_Spitfire_LMG,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",,,,,,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/Spitfire_Fire.Spitfire_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/Spitfire_Re.Spitfire_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/Spitfire_St.Spitfire_St',,LMG / 35발 대용량,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random
Devotion,Devotion LMG,Firearm,16,2,0.75,0.15,6000,36,3.2,Auto,Energy,32000,0.25,-0.4,-0.7,-0.2,0.2,4.5,0.7,FALSE,0,0,0,0,0,0,FALSE,0,/Game/OJJ/Gun/devotion-lmg/source/Apex_Legends_Devotion_LMG.Apex_Legends_Devotion_LMG,/Game/OJJ/Gun/devotion-lmg/source/Apex_Legends_Devotion_LMG.Apex_Legends_Devotion_LMG,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",,,,,,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/Devotion_Fire.Devotion_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/Devotion_Re.Devotion_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/Devotion_St.Devotion_St',,LMG / 가속 연사,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random
G7Scout,G7 Scout,Firearm,34,2,0.75,0.3,8000,10,2.4,Semi,Light,35000,0.25,-0.6,-0.9,-0.15,0.15,5,0.6,FALSE,0,0,0,0,0,0,FALSE,0,/Game/OJJ/Gun/g7-scout-marksman/source/Apex_Legends_G7_Scout_Marksman.Apex_Legends_G7_Scout_Marksman,/Game/OJJ/Gun/g7-scout-marksman/source/Apex_Legends_G7_Scout_Marksman.Apex_Legends_G7_Scout_Marksman,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",,,,,,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/G7Scout_Fire.G7Scout_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/G7Scout_Re.G7Scout_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/G7Scout_St.G7Scout_St',,마크스맨 / 반자동,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random
